question,answer,instruction
What is the plot of Inside Out 2?,"The plot of 'Inside Out 2' is about Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who've long been running a successful operation by all accounts, aren't sure how to feel when Anxiety shows up. And it looks like she's not alone..",Answer the following question:
Who are in the cast of Inside Out 2?,"The cast of 'Inside Out 2' includes Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Phyllis Smith, Lewis Black, Tony Hale, Ayo Edebiri, Adele Exarchopoulos, Lilimar.",Answer the following question:
Who directed Inside Out 2?,'Inside Out 2' was directed by Kelsey Mann.,Answer the following question:
What are the genres of Inside Out 2?,"The genres of 'Inside Out 2' are Animation, Family, Adventure, Comedy.",Answer the following question:
Who is the lead actor in Inside Out 2?,The lead actor in 'Inside Out 2' is Amy Poehler.,Answer the following question:
When was Inside Out 2 released?,"'Inside Out 2' was released on June 11, 2024.",Answer the following question:
Who are the supporting actors in Inside Out 2?,"The supporting actors in 'Inside Out 2' are Maya Hawke, Kensington Tallman, Liza Lapira, Phyllis Smith, Lewis Black, Tony Hale, Ayo Edebiri, Adele Exarchopoulos, Lilimar.",Answer the following question:
What is the rating of Inside Out 2?,The rating of 'Inside Out 2' is 7.649.,Answer the following question:
What is the movie Inside Out 2 about?,"The film titled 'Inside Out 2' was released on June 11, 2024. It falls under the genres of Animation, Family, Adventure, Comedy. The film was directed by Kelsey Mann and stars Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Phyllis Smith, Lewis Black, Tony Hale, Ayo Edebiri, Adele Exarchopoulos, Lilimar. The lead actor is Amy Poehler. Plot summary: Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who've long been running a successful operation by all accounts, aren't sure how to feel when Anxiety shows up. And it looks like she's not alone.. It has received a rating of 7.649.",Answer the following question:
What is the plot of Despicable Me 4?,"The plot of 'Despicable Me 4' is about Gru and Lucy and their girls -- Margo, Edith and Agnes -- welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Meanwhile, Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run..",Answer the following question:
Who are in the cast of Despicable Me 4?,"The cast of 'Despicable Me 4' includes Steve Carell, Kristen Wiig, Joey King, Will Ferrell, Sofia Vergara, Miranda Cosgrove, Dana Gaier, Madison Polan, Pierre Coffin, Steve Coogan.",Answer the following question:
Who directed Despicable Me 4?,'Despicable Me 4' was directed by Chris Renaud.,Answer the following question:
What are the genres of Despicable Me 4?,"The genres of 'Despicable Me 4' are Animation, Family, Comedy, Action.",Answer the following question:
Who is the lead actor in Despicable Me 4?,The lead actor in 'Despicable Me 4' is Steve Carell.,Answer the following question:
When was Despicable Me 4 released?,"'Despicable Me 4' was released on June 20, 2024.",Answer the following question:
Who are the supporting actors in Despicable Me 4?,"The supporting actors in 'Despicable Me 4' are Kristen Wiig, Joey King, Will Ferrell, Sofia Vergara, Miranda Cosgrove, Dana Gaier, Madison Polan, Pierre Coffin, Steve Coogan.",Answer the following question:
What is the rating of Despicable Me 4?,The rating of 'Despicable Me 4' is 7.272.,Answer the following question:
What is the movie Despicable Me 4 about?,"The film titled 'Despicable Me 4' was released on June 20, 2024. It falls under the genres of Animation, Family, Comedy, Action. The film was directed by Chris Renaud and stars Steve Carell, Kristen Wiig, Joey King, Will Ferrell, Sofia Vergara, Miranda Cosgrove, Dana Gaier, Madison Polan, Pierre Coffin, Steve Coogan. The lead actor is Steve Carell. Plot summary: Gru and Lucy and their girls -- Margo, Edith and Agnes -- welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Meanwhile, Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.. It has received a rating of 7.272.",Answer the following question:
